1: 1
2: second
3: Fizz
4: second
5: Buzz
6: Fizzsecondsixth
7: 7
8: second
9: Fizz
10: secondBuzz
11: 11
12: Fizzsecondsixth
13: 13
14: second
15: FizzBuzz
16: second
17: 17
18: Fizzsecondsixth
19: 19
20: secondBuzz
21: Fizz
22: second
23: 23
24: Fizzsecondsixth
25: Buzz
26: second
27: Fizz
28: second
29: 29
30: FizzsecondBuzzsixth
31: 31
32: second
33: Fizz
34: second
35: Buzz
36: Fizzsecondsixth
37: 37
38: second
39: Fizz
40: secondBuzz
41: 41
42: Fizzsecondsixth
43: 43
44: second
45: FizzBuzz
46: second
47: 47
48: Fizzsecondsixth
49: 49
50: secondBuzz
51: Fizz
52: second
53: 53
54: Fizzsecondsixth
55: Buzz
56: second
57: Fizz
58: second
59: 59
60: FizzsecondBuzzsixth
61: 61
62: second
63: Fizz
64: second
65: Buzz
66: Fizzsecondsixth
67: 67
68: second
69: Fizz
70: secondBuzz
71: 71
72: Fizzsecondsixth
73: 73
74: second
75: FizzBuzz
76: second
77: 77
78: Fizzsecondsixth
79: 79
80: secondBuzz
81: Fizz
82: second
83: 83
84: Fizzsecondsixth
85: Buzz
86: second
87: Fizz
88: second
89: 89
90: FizzsecondBuzzsixth
91: 91
92: second
93: Fizz
94: second
95: Buzz
96: Fizzsecondsixth
97: 97
98: second
99: Fizz
100: secondBuzz
